STT,Tên quán,Tên món,Phân loại món,Tên đường,Quận,Giờ mở cửa,Khoảng giá,Note
161,"Bánh Mì Bì Thịt, Bánh Hỏi Nem Thịt Nướng",Bánh mì,Bánh mì,"22 Trần Kế Xương, Phú Nhuận",Quận Phú Nhuận,,15-35k,
162,"Bún bò Hẻm Hoàng Diệu ",Bún bò,Món nước,"243/35 Hoàng Diệu, Q4",Quận 4,,,
163,"Bánh Mì Chả Cá, Chả Ram, Chả bò Quảng Nam
",Bánh mì,Bánh mì,"05 Hoa Sứ, Phú Nhuận",Quận Phú Nhuận,,,
164,Bánh mì Heo quay - Nem Nướng - Bì,Bánh mì,Bánh mì,"Hẻm 19 Trần Bình Trọng, Bình Thạnh",Quận Bình Thạnh,6-10h,"20k
",
165,Bún Thịt Nướng Đêm,Bún thịt nướng,Món nước,"14 Vĩnh Khánh, Q.4",Quận 4,17h-3h sáng, 37k,
166,Bánh Ướt Cô Út 2H,Bánh Ướt,Món nước,"710/2 Phan Văn Trị, Gò Vấp",Quận Gò Vấp,11h30-21h30,100k,
167,Mỳ trộn thái,Mỳ trộn,Món khô,"100 Đường số 13, Tân quy, Quận 7",Quận 7,Sáng - 22h,60k,
168,Bún thịt nướng Cô Nga,Bún thịt nướng,Món khô,14 Vĩnh Khánh Quận 4,Quận 4,17h-3h sáng,"37k
",
169,Bánh mì 12k,Bánh mì ,Bánh mì,"24 lương thế vinh, tân phú",Quận Tân Phú,tối,12k,
170, Thịt xiên nướng,Thịt xiên nướng,Ăn vặt,"Trường marie curie 
159 Đ. Nam Kỳ Khởi Nghĩa, Võ Thị Sáu, Quận 3",Quận 3,tối,8k,
171,Cơm chiên ngon lạp xưởng chả,Cơm chiên,Cơm,"Ngã tư nguyễn công trứ - Yersin
349 nguyễn công trứ, Quận 1
",Quận 1,"3h30 Ngã tư nguyễn công trứ - Yersin
5h 349 nguyễn công trứ, Quận 1"," 30k
",
172,Bánh mì Kebab Lai VN,Bánh mì ,Bánh mì,752 Điện Biên Phủ,Quận Bình Thạnh,"Nghỉ CN, rằm 1-15) 6h00-12h30
",22k,
173,Bún riêu chị Lan,Bún riêu,Món nước,"41 Thái Ly, Quận 2",Quận 2,16h-21h, 25-40k,
